director,database frequency,idf
Joe Roth,2,7.7536
Jimmy Hayward,2,7.7536
Jim Gillespie,2,7.7536
Jill Sprecher,2,7.7536
Jessie Nelson,2,7.7536
Jesse Peretz,2,7.7536
Jerry Jameson,2,7.7536
Jeremy Saulnier,2,7.7536
Jee-woon Kim,2,7.7536
Jeb Stuart,2,7.7536
Jeannot Szwarc,2,7.7536
Jean-Paul Rappeneau,2,7.7536
Jean-Luc Godard,2,7.7536
Jamie Blanks,2,7.7536
Jamie Babbit,2,7.7536
James Watkins,2,7.7536
James Toback,2,7.7536
James Marsh,2,7.7536
Jake Schreier,2,7.7536
Jacques Perrin,2,7.7536
Jack Smight,2,7.7536
J.B. Rogers,2,7.7536
J.A. Bayona,2,7.7536
J. Lee Thompson,2,7.7536
Irvin Kershner,2,7.7536
Ira Sachs,2,7.7536
Hyung-rae Shim,2,7.7536
Hugh Hudson,2,7.7536
Howard Zieff,2,7.7536
Henry Selick,2,7.7536
Harry Elfont,2,7.7536
Harald Zwart,2,7.7536
Hao Ning,2,7.7536
Guillaume Canet,2,7.7536
Griffin Dunne,2,7.7536
Gregor Jordan,2,7.7536
Greg Harrison,2,7.7536
Glen Morgan,2,7.7536
Gillian Armstrong,2,7.7536
Gil Kenan,2,7.7536
Gil Junger,2,7.7536
George Roy Hill,2,7.7536
George Hickenlooper,2,7.7536
George Gallo,2,7.7536
George Armitage,2,7.7536
Geoffrey Sax,2,7.7536
Genndy Tartakovsky,2,7.7536
Gaspar Noé,2,7.7536
Gary Trousdale,2,7.7536
Frederik Du Chau,2,7.7536
Fred Wolf,2,7.7536
François Ozon,2,7.7536
Florian Henckel von Donnersmarck,2,7.7536
Fenton Bailey,2,7.7536
Evan Goldberg,2,7.7536
Eric Valette,2,7.7536
Eric Bross,2,7.7536
Eric Brevig,2,7.7536
Elizabeth Banks,2,7.7536
Elizabeth Allen Rosenbaum,2,7.7536
Ed Harris,2,7.7536
E. Elias Merhige,2,7.7536
Dwight H. Little,2,7.7536
Douglas Aarniokoski,2,7.7536
Don Michael Paul,2,7.7536
Derek Cianfrance,2,7.7536
Denzel Washington,2,7.7536
Deepa Mehta,2,7.7536
David Schwimmer,2,7.7536
David S. Goyer,2,7.7536
David McNally,2,7.7536
David Mamet,2,7.7536
David Leland,2,7.7536
David Hackl,2,7.7536
David DeCoteau,2,7.7536
Dave Green,2,7.7536
Darren Stein,2,7.7536
Danny Leiner,2,7.7536
Danny Cannon,2,7.7536
Daniel Lee,2,7.7536
Daniel Barnz,2,7.7536
Daisy von Scherler Mayer,2,7.7536
DJ Pooh,2,7.7536
Cédric Klapisch,2,7.7536
Craig R. Baxley,2,7.7536
Craig Moss,2,7.7536
Craig Mazin,2,7.7536
Craig Brewer,2,7.7536
Courtney Solomon,2,7.7536
