actor,database frequency,idf
Thomas Kretschmann,2,7.7536
Thomas F. Wilson,2,7.7536
Teri Polo,2,7.7536
Ted Danson,2,7.7536
Taran Killam,2,7.7536
Takuya Kimura,2,7.7536
Takeshi Kaneshiro,2,7.7536
Steve Howey,2,7.7536
Stephanie Szostak,2,7.7536
Stacy Keach,2,7.7536
Snoop Dogg,2,7.7536
Shirley Henderson,2,7.7536
Seymour Cassel,2,7.7536
Sebastian Koch,2,7.7536
Sean Patrick Thomas,2,7.7536
Scout Taylor-Compton,2,7.7536
Scott Porter,2,7.7536
Scoot McNairy,2,7.7536
Scatman Crothers,2,7.7536
Sandra Ellis Lafferty,2,7.7536
Sanaa Lathan,2,7.7536
Sam Trammell,2,7.7536
Sam Riley,2,7.7536
Sally Hawkins,2,7.7536
Saif Ali Khan,2,7.7536
Saeed Jaffrey,2,7.7536
Ryan O'Neal,2,7.7536
Rupert Grint,2,7.7536
Rudy Youngblood,2,7.7536
Romany Malco,2,7.7536
Romain Duris,2,7.7536
Rob Paulsen,2,7.7536
Ricky Schroder,2,7.7536
Rick Yune,2,7.7536
Richard Tyson,2,7.7536
Richard Burton,2,7.7536
Riccardo Scamarcio,2,7.7536
Ricardo Darín,2,7.7536
Randy Wayne,2,7.7536
Ranbir Kapoor,2,7.7536
Rami Malek,2,7.7536
Rachel Hendrix,2,7.7536
Q'orianka Kilcher,2,7.7536
Philip Baker Hall,2,7.7536
Peter Gallagher,2,7.7536
Peter Fonda,2,7.7536
Patton Oswalt,2,7.7536
Patrick Macnee,2,7.7536
Olivia Williams,2,7.7536
Oliver Hudson,2,7.7536
Noam Chomsky,2,7.7536
Noah Taylor,2,7.7536
Nick Stahl,2,7.7536
Nicholas Gonzalez,2,7.7536
Nathan Lane,2,7.7536
Nate Parker,2,7.7536
Natascha McElhone,2,7.7536
Naseeruddin Shah,2,7.7536
Mía Maestro,2,7.7536
Moritz Bleibtreu,2,7.7536
Miranda Cosgrove,2,7.7536
Miko Hughes,2,7.7536
Mike Epps,2,7.7536
Michael McKean,2,7.7536
Michael Jeter,2,7.7536
Michael Berryman,2,7.7536
Mia Wasikowska,2,7.7536
Mia Farrow,2,7.7536
