term,database frequency,idf
Jada Pinkett Smith,7,6.5009
Holly Hunter,7,6.5009
Henry Cavill,7,6.5009
Daniel Radcliffe,7,6.5009
Chazz Palminteri,7,6.5009
Catherine Deneuve,7,6.5009
Benedict Cumberbatch,7,6.5009
Anna Kendrick,7,6.5009
Vanessa Williams,6,6.6550
Tom Skerritt,6,6.6550
Toby Jones,6,6.6550
Rufus Sewell,6,6.6550
Olivia Wilde,6,6.6550
Norman Reedus,6,6.6550
Nia Long,6,6.6550
Macaulay Culkin,6,6.6550
Lin Shaye,6,6.6550
Li Gong,6,6.6550
LL Cool J,6,6.6550
Joe Mantegna,6,6.6550
Jason Flemyng,6,6.6550
Hayden Christensen,6,6.6550
George Kennedy,6,6.6550
Gary Cole,6,6.6550
Ed Begley Jr.,6,6.6550
Donald Pleasence,6,6.6550
Dominic Cooper,6,6.6550
Dianne Wiest,6,6.6550
Demi Moore,6,6.6550
David Oyelowo,6,6.6550
Christopher Lambert,6,6.6550
Charlotte Rampling,6,6.6550
Charlize Theron,6,6.6550
Catherine O'Hara,6,6.6550
Ty Burrell,5,6.8373
Tina Fey,5,6.8373
Steve Coogan,5,6.8373
Stephen Root,5,6.8373
Samantha Morton,5,6.8373
Roy Scheider,5,6.8373
Roddy McDowall,5,6.8373
Quentin Tarantino,5,6.8373
Omar Epps,5,6.8373
Natasha Lyonne,5,6.8373
Muse Watson,5,6.8373
Mira Sorvino,5,6.8373
Madeline Kahn,5,6.8373
Madeline Carroll,5,6.8373
Lea Thompson,5,6.8373
Kelly Macdonald,5,6.8373
Julian Sands,5,6.8373
Jon Hamm,5,6.8373
Jennifer Ehle,5,6.8373
Jay Hernandez,5,6.8373
Janeane Garofalo,5,6.8373
Heath Ledger,5,6.8373
Haley Joel Osment,5,6.8373
Fisher Stevens,5,6.8373
Ethan Suplee,5,6.8373
Daniel Roebuck,5,6.8373
Costas Mandylor,5,6.8373
Connie Nielsen,5,6.8373
