ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
101;A History of Violence;2005;7.5;96;David Cronenberg;Viggo Mortensen;Crime|Drama|Thriller;bar|female full frontal nudity|robbery
102;A Home at the End of the World;2004;6.8;97;Michael Mayer;Robin Wright;Drama|Romance;new york city
103;A Knight's Tale;2001;6.9;144;Brian Helgeland;Heath Ledger;Action|Adventure|Romance;knight|tournament
104;A League of Their Own;1992;7.2;128;Penny Marshall;Tom Hanks;Comedy|Drama|Sport;baseball|friend|oregon|rivalry
105;A Lego Brickumentary;2014;6.8;93;Kief Davidson;G.W. Krauss;Documentary;artist|toy
106;A Lonely Place to Die;2011;6.3;99;Julian Gilbey;Ed Speleers;Action|Adventure|Crime|Thriller;scotland|sniper
107;A Lot Like Love;2005;6.6;107;Nigel Cole;Aimee Garcia;Comedy|Drama|Romance;flight|los angeles california|love
108;A Low Down Dirty Shame;1994;5.8;100;Keenen Ivory Wayans;Jada Pinkett Smith;Action|Comedy|Crime;drugs|machismo|shootout
109;A Madea Christmas;2013;4.7;100;Tyler Perry;Alicia Witt;Comedy|Drama;christmas|madea series|rural setting
110;A Man Apart;2003;6.1;109;F. Gary Gray;Vin Diesel;Action|Crime|Drama|Thriller;dea|drug cartel|justice
111;A Man for All Seasons;1966;7.9;120;Fred Zinnemann;Robert Shaw;Biography|Drama|History;catholic|divorce
112;A Mighty Heart;2007;6.7;108;Michael Winterbottom;Angelina Jolie Pitt;Biography|Drama|History|Thriller|War;fbi|journalist|reporter
113;A Mighty Wind;2003;7.3;91;Christopher Guest;Michael McKean;Comedy|Music;concert|mockumentary|musician|new york city|singer
114;A Million Ways to Die in the West;2014;6.1;136;Seth MacFarlane;Liam Neeson;Comedy|Western;
115;A Monster in Paris;2011;6.8;90;Bibo Bergeron;Adam Goldberg;Adventure|Animation|Comedy|Fantasy|Music|Romance;monster|paris france
116;A Most Violent Year;2014;7.0;125;J.C. Chandor;David Oyelowo;Action|Crime|Drama|Thriller;immigrant|new york city|oil|violence
117;A Most Wanted Man;2014;6.8;122;Anton Corbijn;Philip Seymour Hoffman;Crime|Drama|Thriller;intelligence|secret service
118;A Night at the Roxbury;1998;6.2;82;John Fortenberry;Will Ferrell;Comedy|Music|Romance;1990s|bar|car accident|nightclub
119;A Nightmare on Elm Street 2: Freddy's Revenge;1985;5.4;87;Jack Sholder;Clu Gulager;Fantasy|Horror;freddy krueger|gay|homoeroticism
120;A Nightmare on Elm Street 3: Dream Warriors;1987;6.6;88;Chuck Russell;John Saxon;Action|Fantasy|Horror|Thriller;dream|freddy krueger|killer|nightmare
121;A Nightmare on Elm Street 4: The Dream Master;1988;5.7;99;Renny Harlin;Tuesday Knight;Fantasy|Horror|Thriller;demon|dream|freddy krueger|nightmare
122;A Nightmare on Elm Street 5: The Dream Child;1989;5.1;89;Stephen Hopkins;Lisa Wilcox;Fantasy|Horror|Romance|Thriller;child|comic book|dream|nightmare
123;A Nightmare on Elm Street;1984;7.5;101;Wes Craven;Johnny Depp;Horror;freddy krueger|serial killer|slasher
124;A Passage to India;1984;7.4;164;David Lean;Richard Wilson;Adventure|Drama|History;doctor|india
125;A Perfect Getaway;2009;6.5;108;David Twohy;Chris Hemsworth;Adventure|Mystery|Thriller;hawaii|island
126;A Perfect Plan;2012;6.3;104;Pascal Chaumeil;Dany Boon;Comedy|Romance;curse|divorce|marriage|travel
127;A Prairie Home Companion;2006;6.8;105;Robert Altman;Meryl Streep;Comedy|Drama|Music;cowboy|radio|singing
128;A Room for Romeo Brass;1999;7.7;90;Shane Meadows;Bob Hoskins;Comedy|Drama;betrayal|family relationships|friendship|stranger
129;A Room with a View;1985;7.4;117;James Ivory;Julian Sands;Drama|Romance;male nudity|male pubic hair|piano|pubic hair
130;A Scanner Darkly;2006;7.1;100;Richard Linklater;Robert Downey Jr.;Animation|Drama|Mystery|Sci-Fi|Thriller;detective|drugs|undercover|undercover cop
131;A Separation;2011;8.4;123;Asghar Farhadi;Shahab Hosseini;Drama|Mystery;alzheimer's disease|divorce
132;A Serious Man;2009;7.0;106;Ethan Coen;Michael Stuhlbarg;Comedy|Drama;jewish
133;A Shine of Rainbows;2009;7.2;101;Vic Sarin;Connie Nielsen;Drama|Family;island|love|orphan
134;A Simple Plan;1998;7.5;121;Sam Raimi;Gary Cole;Crime|Drama|Thriller;snow
135;A Simple Wish;1997;5.4;89;Michael Ritchie;Mara Wilson;Comedy|Family|Fantasy;magic
136;A Single Man;2009;7.6;99;Tom Ford;Colin Firth;Drama|Romance;car accident|public nudity
137;A Sound of Thunder;2005;4.2;102;Peter Hyams;David Oyelowo;Action|Adventure|Horror|Sci-Fi|Thriller;hunter|time|time travel
138;A Streetcar Named Desire;1951;8.0;125;Elia Kazan;Marlon Brando;Drama;
139;A Thin Line Between Love and Hate;1996;5.6;108;Martin Lawrence;Faizon Love;Comedy|Crime|Drama|Romance|Thriller;african american|dating|independent film|revenge
140;A Thousand Words;2012;5.9;91;Brian Robbins;John Gatins;Comedy|Drama;box office flop
141;A Time to Kill;1996;7.4;149;Joel Schumacher;Kevin Spacey;Crime|Drama|Thriller;african american|court|law|trial
142;A True Story;2013;5.5;96;Malcolm Goodwin;Katrina Bowden;Comedy;punctuation in title
143;A Turtle's Tale: Sammy's Adventures;2010;6.1;88;Ben Stassen;Ed Begley Jr.;Adventure|Animation|Family;apostrophe in title|character name in title|punctuation in title
144;A Very Harold & Kumar 3D Christmas;2011;6.3;90;Todd Strauss-Schulson;Patton Oswalt;Adventure|Comedy;christmas|fire|new york city
145;A Very Long Engagement;2004;7.7;133;Jean-Pierre Jeunet;Denis Lavant;Drama|Mystery|Romance|War;death|girl|soldier
146;A View to a Kill;1985;6.3;131;John Glen;Patrick Macnee;Action|Adventure|Thriller;computer|earthquake|official james bond series
147;A Walk Among the Tombstones;2014;6.5;114;Scott Frank;Liam Neeson;Crime|Drama|Mystery|Thriller;drug dealer|revenge|violence
