ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
3509;The Curse of the Were-Rabbit;2005;7.5;85;Steve Box;Mark Gatiss;Animation|Comedy|Family|Mystery|Sci-Fi;competition
3510;The DUFF;2015;6.5;101;Ari Sandel;Bella Thorne;Comedy;cartoon on tv|high school|overalls|strong female character
3511;The Da Vinci Code;2006;6.6;174;Ron Howard;Tom Hanks;Mystery|Thriller;secret
3512;The Damned United;2009;7.6;98;Tom Hooper;Stephen Graham;Biography|Drama|Sport;flashback|football
3513;The Dangerous Lives of Altar Boys;2002;7.1;104;Peter Care;Kieran Culkin;Comedy|Drama;book|boy|catholic|comic book|friend
3514;The Dark Hours;2005;6.1;80;Paul Fox;Dov Tiefenbach;Horror|Thriller;game|psychiatrist|weekend
3515;The Dark Knight Rises;2012;8.5;164;Christopher Nolan;Tom Hardy;Action|Thriller;deception|police officer
3516;The Dark Knight;2008;9.0;152;Christopher Nolan;Christian Bale;Action|Crime|Drama|Thriller;based on comic book|dc comics|psychopath|urban setting
3517;The Darkest Hour;2011;4.9;89;Chris Gorak;Max Minghella;Action|Adventure|Horror|Sci-Fi|Thriller;alien|critically bashed|killing an animal|nightclub
3518;The Day After Tomorrow;2004;6.4;124;Roland Emmerich;Jake Gyllenhaal;Action|Adventure|Sci-Fi|Thriller;
3519;The Day the Earth Stood Still;2008;5.5;104;Scott Derrickson;Keanu Reeves;Drama|Sci-Fi|Thriller;alien|earth|military|scientist
3520;The Dead Girl;2006;6.7;93;Karen Moncrieff;James Franco;Crime|Drama|Mystery;girl
3521;The Dead Undead;2010;3.0;89;Matthew R. Anderson;Johnny Pacar;Action|Horror|Sci-Fi;flashback|rural setting|vampire|zombie
3522;The Dead Zone;1983;7.2;103;David Cronenberg;Tom Skerritt;Horror|Sci-Fi|Thriller;car accident|coma|psychic
3523;The Death and Life of Bobby Z;2007;5.9;97;John Herzfeld;Paul Walker;Action|Crime|Thriller;drug lord|on the run|prison|vegetarian
3524;The Debt;2010;6.9;113;John Madden;Tom Wilkinson;Drama|Thriller;nazi
3525;The Deep End of the Ocean;1999;6.3;106;Ulu Grosbard;Alexa PenaVega;Drama;basketball|boy|italian|reunion
3526;The Deer Hunter;1978;8.2;183;Michael Cimino;Robert De Niro;Drama|War;escape|friend|party|vietnam
3527;The Departed;2006;8.5;151;Martin Scorsese;Leonardo DiCaprio;Crime|Drama|Thriller;police|undercover|undercover cop
3528;The Deported;2009;6.2;90;Lance Kawas;Taylor Negron;Comedy;actor|mexico|orphan|usa
3529;The Descendants;2011;7.3;115;Alexander Payne;Shailene Woodley;Comedy|Drama;father daughter relationship|hospital|marriage
3530;The Descent;2005;7.2;100;Neil Marshall;MyAnna Buring;Adventure|Horror|Thriller;cave|expedition|group of friends
3531;The Devil Inside;2012;4.2;83;William Brent Bell;Fernanda Andrade;Horror;critically bashed|demonic possession|exorcism|found footage
3532;The Devil Wears Prada;2006;6.8;109;David Frankel;Meryl Streep;Comedy|Drama|Romance;fashion|magazine|new york city
3533;The Devil's Advocate;1997;7.5;136;Taylor Hackford;Keanu Reeves;Drama|Mystery|Thriller;lawyer|money|reality|supernatural power
3534;The Devil's Double;2011;7.1;109;Lee Tamahori;Mem Ferda;Biography|Drama|Thriller;betrayal|lust
3535;The Devil's Own;1997;6.1;111;Alan J. Pakula;Harrison Ford;Action|Crime|Drama|Thriller;friendship|murder|police officer|terrorist
3536;The Devil's Rejects;2005;6.9;109;Rob Zombie;Sid Haig;Crime|Horror;escape|police|road trip|sheriff|texas
3537;The Devil's Tomb;2009;3.8;90;Jason Connery;Ray Winstone;Action|Horror|Sci-Fi;desert|mercenary|priest|scientist
3538;The Diary of a Teenage Girl;2015;6.9;102;Marielle Heller;Alexander Skarsgård;Drama|Romance;1970s|overalls
3539;The Dictator;2012;6.4;99;Larry Charles;Sayed Badreya;Comedy|Romance;dictator|hotel|oil|overalls
3540;The Dilemma;2011;5.3;111;Ron Howard;Channing Tatum;Comedy|Drama;best friend|friend|investigation|secret|two word title
3541;The Dirties;2013;6.7;83;Matt Johnson;Paul Daniel Ayotte;Crime|Drama|Thriller;best friend|bully|friend|revenge|school
3542;The Divide;2011;5.8;122;Xavier Gens;Michael Biehn;Drama|Sci-Fi|Thriller;torture
3543;The Diving Bell and the Butterfly;2007;8.0;112;Julian Schnabel;Emmanuelle Seigner;Biography|Drama;coma|male frontal nudity
3544;The Doors;1991;7.2;140;Oliver Stone;Michael Wincott;Biography|Drama|Music|Musical;death|paris france|rock band|singer
3545;The Dress;1996;7.0;95;Alex van Warmerdam;Rijk de Gooyer;Comedy|Drama;bare breasts|panties|topless female nudity
3546;The Duchess;2008;6.9;110;Saul Dibb;Dominic Cooper;Biography|Drama|History|Romance;infidelity|marriage
3547;The Dukes of Hazzard;2005;5.1;107;Jay Chandrasekhar;Alice Greczyn;Action|Adventure|Comedy;bikini|farm
3548;The East;2013;6.9;116;Zal Batmanglij;Alexander Skarsgård;Drama|Thriller;corporation|vomiting|watching television
3549;The Eclipse;2009;6.2;86;Conor McPherson;Aidan Quinn;Drama|Horror|Romance;ghost|irish|novelist|widower
3550;The Edge;1997;6.9;117;Lee Tamahori;Anthony Hopkins;Action|Adventure|Drama|Thriller;bear|billionaire|crash|wilderness
3551;The Egyptian;1954;6.6;139;Michael Curtiz;Gene Tierney;Drama|History;afterlife|egypt|princess
3552;The Elephant Man;1980;8.2;124;David Lynch;Anthony Hopkins;Biography|Drama;hospital
3553;The Emperor's Club;2002;6.9;109;Michael Hoffman;Gabriel Millman;Drama;reunion
3554;The Emperor's New Groove;2000;7.3;78;Mark Dindal;Eartha Kitt;Adventure|Animation|Comedy|Family|Fantasy;disney|emperor|first part
3555;The End of the Affair;1999;7.2;102;Neil Jordan;Stephen Rea;Drama|Romance;breasts|jealousy|obsession|sex scene
3556;The English Patient;1996;7.4;162;Anthony Minghella;Colin Firth;Drama|Romance|War;church|flashback|nurse|patient
3557;The Equalizer;2014;7.2;132;Antoine Fuqua;Denzel Washington;Action|Crime|Thriller;assassin|gangster
3558;The Evil Dead;1981;7.6;96;Sam Raimi;Ted Raimi;Fantasy|Horror;cult film
3559;The Exorcism of Emily Rose;2005;6.7;122;Scott Derrickson;Tom Wilkinson;Drama|Horror|Thriller;death|demonic possession|exorcism|lawyer|priest
3560;The Exorcist;1973;8.0;132;William Friedkin;Ellen Burstyn;Horror;demonic possession|exorcism|priest
3561;The Expendables 2;2012;6.7;103;Simon West;Jason Statham;Action|Adventure|Thriller;church|hostage|revenge
3562;The Expendables 3;2014;6.1;131;Patrick Hughes;Jason Statham;Action|Adventure|Thriller;battle|fight|mission|rescue
3563;The Expendables;2010;6.5;113;Sylvester Stallone;Jason Statham;Action|Adventure|Thriller;action hero|explosion
3564;The Exploding Girl;2009;6.3;79;Bradley Rust Gray;Zoe Kazan;Drama;friend|hospital|ring
3565;The Express;2008;7.3;130;Gary Fleder;Dennis Quaid;Biography|Drama|Sport;african american|coach|nonlinear timeline
3566;The Extra Man;2010;5.9;108;Shari Springer Berman;Lynn Cohen;Comedy;magazine|teacher|writer
3567;The Eye;2008;5.4;92;David Moreau;Chloë Grace Moretz;Horror|Mystery;
3568;The FP;2011;5.6;82;Brandon Trost;Clifton Collins Jr.;Comedy;based on short film|dystopia
3569;The Faculty;1998;6.4;104;Robert Rodriguez;Jordana Brewster;Horror|Mystery|Sci-Fi;alien|high school|ohio|photographer|water
3570;The Fall of the Roman Empire;1964;6.7;172;Anthony Mann;James Mason;Drama|History|War;emperor
3571;The Family Man;2000;6.7;125;Brett Ratner;Nicolas Cage;Comedy|Drama|Fantasy|Romance;christmas|salesman|unfaithfulness
3572;The Family Stone;2005;6.3;103;Thomas Bezucha;Craig T. Nelson;Comedy|Drama|Romance;christmas|ring|secret
3573;The Fan;1996;5.8;116;Tony Scott;Robert De Niro;Action|Drama|Sport|Thriller;baseball|fan|obsession|salesman
3574;The Fast and the Furious: Tokyo Drift;2006;6.0;104;Justin Lin;Amber Stevens West;Action|Crime|Thriller;car
3575;The Fast and the Furious;2001;6.7;106;Rob Cohen;Paul Walker;Action|Crime|Thriller;truck|undercover cop
3576;The Fault in Our Stars;2014;7.8;133;Josh Boone;Shailene Woodley;Drama|Romance;cancer|falling in love|friendship|teenager
3577;The Fifth Element;1997;7.7;126;Luc Besson;Milla Jovovich;Action|Adventure|Sci-Fi;alien|love
3578;The Fifth Estate;2013;6.2;128;Bill Condon;Benedict Cumberbatch;Biography|Drama|Thriller;computer hacker|internet
3579;The Fighter;2010;7.9;116;David O. Russell;Christian Bale;Biography|Drama|Sport;boxer|boxing
3580;The Final Destination;2009;5.2;82;David R. Ellis;Krista Allen;Horror;car crash
3581;The Finest Hours;2016;6.8;117;Craig Gillespie;Michael Raymond-James;Action|Drama|History|Thriller;1950s|survival
3582;The Firm;1993;6.8;154;Sydney Pollack;Tom Cruise;Drama|Mystery|Thriller;bar|fbi|law|lawyer
3583;The First Wives Club;1996;6.2;103;Hugh Wilson;Stockard Channing;Comedy;cult film|revenge
3584;The Fisher King;1991;7.6;137;Terry Gilliam;Jeff Bridges;Comedy|Drama|Fantasy;friendship|massacre|redemption|video store
3585;The Five-Year Engagement;2012;6.2;131;Nicholas Stoller;Alison Brie;Comedy|Romance;
3586;The Flintstones in Viva Rock Vegas;2000;3.6;90;Brian Levant;Taylor Negron;Comedy|Family|Romance|Sci-Fi;based on tv series|love
3587;The Flintstones;1994;4.8;91;Brian Levant;Jonathan Winters;Comedy|Family|Fantasy;box office hit
3588;The Flower of Evil;2003;6.6;104;Claude Chabrol;Benoît Magimel;Drama;election|mayor|political thriller
3589;The Flowers of War;2011;7.6;146;Yimou Zhang;Christian Bale;Drama|History|Romance|War;
3590;The Fog;1980;6.8;89;John Carpenter;Jamie Lee Curtis;Fantasy|Horror;california|ship
3591;The Forbidden Kingdom;2008;6.6;104;Rob Minkoff;Jet Li;Action|Adventure|Fantasy;teenager|urination|warrior
3592;The Forest;2016;4.8;93;Jason Zada;Eoin Macken;Horror|Mystery|Thriller;forest|japan|suicide|supernatural
3593;The Forsaken;2001;5.3;90;J.S. Cardone;Brendan Fehr;Horror|Thriller;vampire|vampire hunter|virus
3594;The Fountain;2006;7.3;96;Darren Aronofsky;Hugh Jackman;Drama|Sci-Fi;love
3595;The Four Feathers;2002;6.5;125;Shekhar Kapur;Djimon Hounsou;Adventure|Drama|Romance|War;male nudity|nudity|sex
3596;The Four Seasons;1981;7.2;107;Alan Alda;Rita Moreno;Comedy|Drama;directed by star|friendship|written and directed by cast member
3597;The Fourth Kind;2009;5.9;98;Olatunde Osunsanmi;Milla Jovovich;Mystery|Sci-Fi|Thriller;alaska|alien|patient
3598;The French Connection;1971;7.8;104;William Friedkin;Roy Scheider;Action|Crime|Drama|Thriller;crime boss|heroin|organized crime
3599;The Front Page;1974;7.3;105;Billy Wilder;Austin Pendleton;Comedy|Drama|Romance;1920s|newspaper|reporter
3600;The Frozen Ground;2013;6.4;105;Scott Walker;Nicolas Cage;Crime|Drama|Mystery|Thriller;based on true story|serial killer|strip club
3601;The Frozen;2012;4.4;95;Andrew Hyatt;Noah Segan;Horror|Thriller;two word title
3602;The Fugitive;1993;7.8;130;Andrew Davis;Harrison Ford;Action|Adventure|Crime|Drama|Mystery|Thriller;hospital|on the run|u.s. marshal
3603;The Full Monty;1997;7.2;91;Peter Cattaneo;Tom Wilkinson;Comedy|Drama|Music;
3604;The Funeral;1996;6.6;99;Abel Ferrara;Isabella Rossellini;Crime|Drama;1930s|murder|new york city|violence
3605;The Gallows;2015;4.2;81;Travis Cluff;Pfeifer Brown;Horror|Thriller;high school|stage
3606;The Gambler;2014;6.0;111;Rupert Wyatt;George Kennedy;Crime|Drama|Thriller;dog|gambling|gangster|professor
3607;The Game Plan;2007;6.2;110;Andy Fickman;Dwayne Johnson;Comedy|Family|Sport;family relationships|publicist|tween girl
3608;The Game of Their Lives;2005;6.2;101;David Anspaugh;Gerard Butler;Drama|History|Sport;1950s|brazil|soccer
3609;The Game;1997;7.8;129;David Fincher;Deborah Kara Unger;Drama|Mystery|Thriller;birthday|game|hitchcockian|suicide
3610;The Gatekeepers;2012;7.6;101;Dror Moreh;Ami Ayalon;Documentary|War;interview|jewish|terrorism
3611;The General's Daughter;1999;6.3;116;Simon West;Daniel von Bargen;Drama|Mystery|Thriller;cover up|military|murder
3612;The Geographer Drank His Globe Away;2013;7.5;120;Aleksandr Veledinskiy;Konstantin Khabenskiy;Adventure|Drama;russia|school|student|teacher
3613;The Ghastly Love of Johnny X;2012;5.7;106;Paul Bunnell;Kate Maberly;Comedy|Fantasy|Musical|Sci-Fi;1950s|independent film|outlaw|trial
3614;The Ghost Writer;2010;7.2;128;Roman Polanski;Jim Belushi;Mystery|Thriller;death|island|writer
3615;The Ghost and the Darkness;1996;6.8;110;Stephen Hopkins;Tom Wilkinson;Adventure|Drama|Horror|Thriller;bridge|hunter
3616;The Gift;2015;7.1;108;Joel Edgerton;Busy Philipps;Mystery|Thriller;rape
3617;The Girl Next Door;2004;6.8;110;Luke Greenfield;Chris Marquette;Comedy|Drama|Romance;male rear nudity|teenager
3618;The Girl on the Train;2009;6.0;105;André Téchiné;Catherine Deneuve;Drama;lawyer|train|wealth|wrestler
3619;The Girl with the Dragon Tattoo;2011;7.8;158;David Fincher;Robin Wright;Crime|Drama|Mystery|Thriller;computer hacker|investigation|journalist
3620;The Giver;2014;6.5;97;Phillip Noyce;Jeff Bridges;Drama|Romance|Sci-Fi;dystopia
3621;The Glass House;2001;5.8;106;Daniel Sackheim;Chris Noth;Crime|Drama|Mystery|Thriller;car|car accident|death|friend
3622;The Glimmer Man;1996;5.3;91;John Gray;Alexa PenaVega;Action|Comedy|Crime|Drama|Thriller;detective|murder|partner|serial killer
3623;The Godfather: Part III;1990;7.6;170;Francis Ford Coppola;Al Pacino;Crime|Drama;1970s|family relationships|opera
3624;The Godfather: Part II;1974;9.0;220;Francis Ford Coppola;Robert De Niro;Crime|Drama;1950s|revenge
3625;The Godfather;1972;9.2;175;Francis Ford Coppola;Al Pacino;Crime|Drama;mafia|organized crime
3626;The Golden Child;1986;5.9;94;Michael Ritchie;Victor Wong;Action|Adventure|Comedy|Fantasy|Mystery;boy|child|demon|detective
3627;The Golden Compass;2007;6.1;113;Chris Weitz;Christopher Lee;Adventure|Family|Fantasy;children|epic|friend|girl|quest
3628;The Good Dinosaur;2015;6.8;93;Peter Sohn;A.J. Buckley;Adventure|Animation|Comedy|Family|Fantasy;dinosaur|fear|river
3629;The Good German;2006;6.1;105;Steven Soderbergh;Tony Curran;Drama|Mystery|Thriller;american|driver|journalist|russian|secret
3630;The Good Girl;2002;6.5;93;Miguel Arteta;Jake Gyllenhaal;Drama|Romance;marijuana|small town
3631;The Good Guy;2009;5.9;90;Julio DePietro;Adrian Martinez;Comedy|Romance;manhattan new york city|new york city
3632;The Good Heart;2009;6.9;99;Dagur Kári;Alice Olivia Clarke;Drama;bar|death|heart attack
3633;The Good Night;2007;5.9;93;Jake Paltrow;Stephen Graham;Comedy|Drama|Fantasy|Music|Romance;dream|girl|new york city
3634;The Good Thief;2002;6.6;109;Neil Jordan;Emir Kusturica;Action|Crime|Drama|Romance|Thriller;casino|heist|partner
3635;The Good, the Bad and the Ugly;1966;8.9;142;Sergio Leone;Clint Eastwood;Western;civil war|hitman|outlaw|shootout
3636;The Good, the Bad, the Weird;2008;7.3;135;Jee-woon Kim;Kang-ho Song;Action|Adventure|Comedy|Western;bounty hunter|map|train|treasure
3637;The Goods: Live Hard, Sell Hard;2009;5.8;89;Neal Brennan;Rob Riggle;Comedy;mirror
3638;The Grace Card;2010;6.4;101;David G. Evans;Michael Joiner;Drama;christian film|hospital|pastor|police
3639;The Grand Budapest Hotel;2014;8.1;99;Wes Anderson;Bill Murray;Adventure|Comedy|Crime|Drama;hotel|painting
3640;The Grandmaster;2013;6.5;122;Kar-Wai Wong;Tony Chiu Wai Leung;Action|Biography|Drama;china|hong kong|martial arts
3641;The Great Beauty;2013;7.7;172;Paolo Sorrentino;Toni Servillo;Drama;male frontal nudity|male nudity|party
3642;The Great Debaters;2007;7.6;126;Denzel Washington;Denzel Washington;Biography|Drama;college|student|texas
3643;The Great Escape;1963;8.3;172;John Sturges;James Coburn;Adventure|Drama|History|Thriller|War;escape|prisoner|tunnel
3644;The Great Gatsby;2013;7.3;143;Baz Luhrmann;Leonardo DiCaprio;Drama|Romance;mansion|party|tragedy
3645;The Great Raid;2005;6.7;132;John Dahl;James Franco;Action|Drama|War;american|mission|rescue|soldier
3646;The Great Train Robbery;1979;7.0;110;Michael Crichton;Lesley-Anne Down;Adventure|Crime|Drama|Thriller;bank|gold|key|train
3647;The Greatest Game Ever Played;2005;7.5;120;Bill Paxton;Stephen Dillane;Drama|History|Sport;golfer
3648;The Greatest Movie Ever Sold;2011;6.6;90;Morgan Spurlock;Quentin Tarantino;Comedy|Documentary;advertising
3649;The Greatest Show on Earth;1952;6.7;152;Cecil B. DeMille;Gloria Grahame;Drama|Family|Romance;circus
3650;The Greatest Story Ever Told;1965;6.6;225;George Stevens;Martin Landau;Biography|Drama|History;faith|jewish
3651;The Greatest;2009;6.7;96;Shana Feste;Jennifer Ehle;Drama|Romance;car crash|title directed by female
3652;The Green Hornet;2011;5.8;119;Michel Gondry;Christoph Waltz;Action|Comedy|Crime|Sci-Fi|Thriller;kung fu|party|playboy|superhero
3653;The Green Inferno;2013;5.4;100;Eli Roth;Daryl Sabara;Adventure|Horror;activist|color in title
3654;The Green Mile;1999;8.5;189;Frank Darabont;Tom Hanks;Crime|Drama|Fantasy|Mystery;1930s
3655;The Grey;2011;6.8;117;Joe Carnahan;Liam Neeson;Action|Adventure|Drama|Thriller;alaska|snow|survival|wilderness
3656;The Grudge 2;2006;5.0;137;Takashi Shimizu;Sarah Michelle Gellar;Horror|Thriller;curse|ghost|haunted house|high school
3657;The Grudge;2004;5.9;98;Takashi Shimizu;Sarah Michelle Gellar;Horror|Mystery|Thriller;american|curse|japan|nurse
3658;The Guard;2011;7.3;96;John Michael McDonagh;Don Cheadle;Comedy|Crime|Thriller;fbi|fbi agent|small town
3659;The Guilt Trip;2012;5.8;95;Anne Fletcher;Miriam Margolyes;Comedy|Drama;love|mother son relationship|on the road
3660;The Gunman;2015;5.8;115;Pierre Morel;Ray Winstone;Action|Crime|Drama|Mystery|Thriller;assassination|death|mercenary
3661;The Guru;2002;5.4;94;Daisy von Scherler Mayer;Michael McKean;Comedy|Music|Romance;restaurant|waiter
3662;The Hadza: Last of the First;2014;7.4;71;Bill Benenson;Alfre Woodard;Documentary;
3663;The Hammer;2007;7.3;88;Charles Herman-Wurmfeld;John Enos III;Comedy|Romance|Sport;birthday|boxing|coach|gym|olympics
3664;The Hangover Part II;2011;6.5;102;Todd Phillips;Bradley Cooper;Comedy;hotel|male frontal nudity|pubic hair|thailand|wedding
3665;The Hangover;2009;7.8;108;Todd Phillips;Bradley Cooper;Comedy;female nudity
3666;The Happening;2008;5.0;91;M. Night Shyamalan;Zooey Deschanel;Sci-Fi|Thriller;park|school|teacher
3667;The Hateful Eight;2015;7.9;187;Quentin Tarantino;Craig Stark;Crime|Drama|Mystery|Thriller|Western;bounty hunter|murder
3668;The Haunted Mansion;2003;4.9;88;Rob Minkoff;Marsha Thomason;Comedy|Family|Fantasy|Horror|Mystery;ghost|haunted house
3669;The Haunting in Connecticut 2: Ghosts of Georgia;2013;5.3;101;Tom Elkins;Abigail Spencer;Drama|Horror|Mystery|Thriller;daughter|mother|slave
3670;The Haunting of Molly Hartley;2008;3.8;82;Mickey Liddell;Jessica Lowndes;Drama|Horror|Thriller;birthday|teenager
3671;The Haunting;1999;4.9;113;Jan de Bont;Liam Neeson;Fantasy|Horror|Mystery|Thriller;haunted house|horror movie remake|mansion
3672;The Heart of Me;2002;6.7;96;Thaddeus O'Sullivan;Olivia Williams;Drama|Romance;1930s|car accident|hospital|painter
3673;The Heat;2013;6.6;123;Paul Feig;Michael Rapaport;Action|Comedy|Crime;drug lord|fbi|fbi agent|hospital
3674;The Hebrew Hammer;2003;6.2;87;Jonathan Kesselman;Judy Greer;Comedy;blaxploitation|jewish
3675;The Helix... Loaded;2005;1.9;97;A. Raven Cruz;Scott Levy;Action|Adventure|Comedy|Fantasy|Sci-Fi;punctuation in title|secret agent
3676;The Help;2011;8.1;146;Tate Taylor;Emma Stone;Drama;maid
3677;The Hills Have Eyes II;2007;5.1;89;Martin Weisz;Jeff Kober;Horror;desert|fight|murder|mutant
3678;The Hills Have Eyes;2006;6.4;108;Alexandre Aja;Dan Byrd;Horror;desert|horror movie remake|rape|slasher
3679;The History Boys;2006;6.9;109;Nicholas Hytner;Dominic Cooper;Comedy|Drama;gay|school|teacher
3680;The Hit List;2011;5.4;90;William Kaufman;Drew Waters;Action|Thriller;die hard scenario|held at gunpoint|race against time
3681;The Hitchhiker's Guide to the Galaxy;2005;6.8;109;Garth Jennings;Zooey Deschanel;Adventure|Comedy|Sci-Fi;alien|friend|spaceship
3682;The Hoax;2006;6.7;116;Lasse Hallström;Hope Davis;Comedy|Drama;book
3683;The Hobbit: An Unexpected Journey;2012;7.9;182;Peter Jackson;Aidan Turner;Adventure|Fantasy;dragon|dwarf|wizard
3684;The Hobbit: The Battle of the Five Armies;2014;7.5;164;Peter Jackson;Aidan Turner;Adventure|Fantasy;army|elf
3685;The Hobbit: The Desolation of Smaug;2013;7.9;186;Peter Jackson;Aidan Turner;Adventure|Fantasy;dwarf|elf|mountain|sword and sorcery
3686;The Hole;2009;5.7;92;Joe Dante;Bruce Dern;Adventure|Fantasy|Thriller;basement|family relationships|no opening credits
3687;The Holiday;2006;6.9;138;Nancy Meyers;Kate Winslet;Comedy|Romance;book|house|love
3688;The Holy Girl;2004;6.7;106;Lucrecia Martel;Mía Maestro;Drama;doctor|hotel|title directed by female
3689;The Homesman;2014;6.6;122;Tommy Lee Jones;Barry Corbin;Drama|Western;pastor
3690;The Horror Network Vol. 1;2015;7.3;97;Brian Dorton;Javier Botet;Horror;anthology
3691;The Horse Boy;2009;7.4;93;Michel Orion Scott;Temple Grandin;Documentary;horse|journey|travel
3692;The Horse Whisperer;1998;6.5;170;Robert Redford;Scarlett Johansson;Drama|Romance|Western;horse
3693;The Horseman on the Roof;1995;7.1;135;Jean-Paul Rappeneau;Olivier Martinez;Adventure|Drama|Romance|War;breasts|police
3694;The Host;2006;7.0;110;Joon-ho Bong;Doona Bae;Comedy|Drama|Horror|Sci-Fi;daughter|monster|river
3695;The Hotel New Hampshire;1984;6.0;109;Tony Richardson;Joely Richardson;Comedy|Drama|Romance;football|hotel|teenage girl|terrorist
3696;The Hours;2002;7.6;114;Stephen Daldry;Meryl Streep;Drama|Romance;lesbian|party
3697;The House Bunny;2008;5.5;97;Fred Wolf;Emma Stone;Comedy|Romance;party|playboy|sorority
3698;The House of Mirth;2000;7.1;135;Terence Davies;Eric Stoltz;Drama|Romance;love|money|wealth
3699;The House of the Devil;2009;6.4;95;Ti West;Lena Dunham;Horror;cult film|haunted house|secret
3700;The Howling;1981;6.6;91;Joe Dante;Patrick Macnee;Horror;1980s|forest
3701;The Hudsucker Proxy;1994;7.3;111;Joel Coen;Jennifer Jason Leigh;Comedy|Fantasy;
3702;The Hunchback of Notre Dame;1996;6.9;91;Gary Trousdale;Demi Moore;Animation|Drama|Family|Musical|Romance;
3703;The Hundred-Foot Journey;2014;7.3;122;Lasse Hallström;Manish Dayal;Comedy|Drama;chef|restaurant
3704;The Hunger Games: Catching Fire;2013;7.6;146;Francis Lawrence;Jennifer Lawrence;Adventure|Sci-Fi|Thriller;president|snow|television
3705;The Hunger Games: Mockingjay - Part 1;2014;6.7;123;Francis Lawrence;Jennifer Lawrence;Adventure|Sci-Fi|Thriller;based on young adult novel|rebellion
3706;The Hunger Games: Mockingjay - Part 2;2015;6.6;137;Francis Lawrence;Jennifer Lawrence;Adventure|Sci-Fi;dystopia|rebellion|revolution
3707;The Hunger Games;2012;7.3;142;Gary Ross;Jennifer Lawrence;Adventure|Drama|Sci-Fi|Thriller;game|massacre|suicide attempt
3708;The Hunt for Red October;1990;7.6;135;John McTiernan;Scott Glenn;Action|Adventure|Thriller;navy|submarine
3709;The Hunted;2003;6.0;94;William Friedkin;Connie Nielsen;Action|Crime|Drama|Thriller;combat|fbi|hunter|special forces
3710;The Hunting Party;2007;6.9;101;Richard Shepard;James Brolin;Adventure|Comedy|Drama|Romance|Thriller|War;cia
3711;The Huntsman: Winter's War;2016;6.1;120;Cedric Nicolas-Troyan;Chris Hemsworth;Action|Adventure|Drama|Fantasy;fairy tale|second part|sequel
3712;The Hunt;2012;8.3;115;Thomas Vinterberg;Thomas Bo Larsen;Drama;gun
3713;The Hurricane;1999;7.6;146;Norman Jewison;Denzel Washington;Biography|Drama|Sport;african american|book|boxer|boxing|murder
3714;The Hurt Locker;2008;7.6;131;Kathryn Bigelow;Jeremy Renner;Drama|History|Thriller|War;army|bomb|death|iraq
3715;The Hustler;1961;8.0;134;Robert Rossen;George C. Scott;Drama|Sport;drink|manager|money|partner
3716;The I Inside;2004;6.1;90;Roland Suso Richter;Stephen Graham;Mystery|Sci-Fi|Thriller;2000s|hospital
3717;The Ice Pirates;1984;5.7;91;Stewart Raffill;Anjelica Huston;Action|Adventure|Comedy|Romance|Sci-Fi;cult film|ice|psychotronic
3718;The Ice Storm;1997;7.5;112;Ang Lee;Joan Allen;Drama;ice|storm|thanksgiving|virgin
3719;The Iceman;2012;6.9;106;Ariel Vromen;Chris Evans;Biography|Crime|Drama;based on true story
3720;The Ides of March;2011;7.1;101;George Clooney;Ryan Gosling;Drama;governor|manager|ohio|politics
3721;The Illusionist;2006;7.6;110;Neil Burger;Rufus Sewell;Drama|Mystery|Romance|Thriller;magician|prince|supernatural power
3722;The Image Revolution;2014;7.4;81;Patrick Meaney;Taliesin Jaffe;Biography|Documentary;comic book
3723;The Imaginarium of Doctor Parnassus;2009;6.8;123;Terry Gilliam;Andrew Garfield;Adventure|Fantasy|Mystery;birthday|bridge|rescue
3724;The Imitation Game;2014;8.1;114;Morten Tyldum;Benedict Cumberbatch;Biography|Drama|Thriller|War;world war two
3725;The Immigrant;2013;6.6;120;James Gray;Jeremy Renner;Drama|Romance;immigrant|magician|money
3726;The Importance of Being Earnest;2002;6.9;97;Oliver Parker;Colin Firth;Comedy|Drama|Romance;love
3727;The Impossible;2012;7.6;114;J.A. Bayona;Naomi Watts;Drama|Thriller;christmas|thailand|tourist|tsunami
3728;The In Crowd;2000;4.6;105;Mary Lambert;Matthew Settle;Drama|Mystery|Thriller;female protagonist|title directed by female
3729;The Incredible Burt Wonderstone;2013;5.9;100;Don Scardino;Steve Buscemi;Comedy;magic|magician
3730;The Incredible Hulk;2008;6.8;135;Louis Leterrier;Ty Burrell;Action|Adventure|Sci-Fi;cure
3731;The Incredibles;2004;8.0;115;Brad Bird;Holly Hunter;Action|Adventure|Animation|Family;hero|island|secret|superhero
3732;The Incredibly True Adventure of Two Girls in Love;1995;6.5;94;Maria Maggenti;Nicole Ari Parker;Comedy|Drama|Romance;friend|lesbian|lesbian sex
3733;The Indian in the Cupboard;1995;5.9;96;Frank Oz;Steve Coogan;Drama|Family|Fantasy;best friend|birthday|boy|friend|magic
3734;The Informant!;2009;6.5;108;Steven Soderbergh;Matt Damon;Comedy|Crime|Drama|Thriller;fbi|investigation|spy
3735;The Informers;2008;5.1;98;Gregor Jordan;Austin Nichols;Crime|Drama|Thriller;breasts|female nudity|male pubic hair|pubic hair|sex scene
3736;The Inkwell;1994;6.5;110;Matty Rich;Jada Pinkett Smith;Comedy|Drama|Romance;fire|marriage|teenager|vacation
3737;The Innkeepers;2011;5.5;101;Ti West;Lena Dunham;Horror;bathtub|hotel
